centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,24.61,39.58,3.31,0.56,31.95
-111.276811_40.62636,centroid_2,20.23,35.92,4.05,0.68,39.12
-111.282991_40.698113,centroid_3,24.45,32.06,4.07,0.73,38.68
-111.285765_41.776494,centroid_4,28.65,27.99,2.32,4.41,36.62
-111.364916_40.598384,centroid_5,20.1,33.86,5.17,0.73,40.14
-111.366196_40.490448,centroid_6,17.63,31.3,2.6,0.76,47.72
-111.380301_40.881808,centroid_7,27.28,28.17,9.69,0.75,34.12
-111.399741_40.517545,centroid_8,18.0,32.06,3.82,0.72,45.4
-111.402199_40.499864,centroid_9,18.15,29.17,3.32,0.76,48.6
-111.408202_40.477897,centroid_10,17.4,29.28,2.7,0.83,49.79
-111.420382_40.504007,centroid_11,17.46,29.9,3.76,0.81,48.07
-111.420779_40.48159,centroid_12,17.59,29.59,3.01,0.82,48.99
-111.434906_40.409967,centroid_13,16.87,30.83,1.9,0.67,49.74
-111.440744_40.757146,centroid_14,36.18,22.89,6.88,0.76,33.29
-111.442008_40.974532,centroid_15,42.07,22.75,10.88,0.71,23.59
-111.463355_40.506679,centroid_16,17.49,30.88,3.88,0.75,47.01
-111.47918_40.522269,centroid_17,18.87,30.63,4.49,0.82,45.19
-111.491737_40.657076,centroid_18,32.18,25.39,6.78,0.76,34.89
-111.505176_40.677097,centroid_19,35.04,23.28,7.56,0.68,33.43
-111.510946_40.65549,centroid_20,31.8,25.99,6.86,0.77,34.57
-111.510973_40.749146,centroid_21,43.13,19.58,8.07,0.73,28.49
-111.521423_40.710945,centroid_22,38.74,22.79,8.02,0.74,29.71
-111.523984_40.160043,centroid_23,21.09,29.64,1.24,0.9,47.12
-111.555312_40.702311,centroid_24,36.41,24.65,7.95,0.72,30.27
-111.57445_40.155571,centroid_25,24.46,26.44,0.68,0.87,47.55
-111.578766_40.760625,centroid_26,43.32,22.63,8.09,0.68,25.29
-111.579662_40.141332,centroid_27,23.17,26.09,0.55,0.85,49.33
-111.58085_40.12006,centroid_28,21.42,27.37,0.64,0.88,49.7
-111.586724_40.743115,centroid_29,40.16,25.23,8.25,0.69,25.67
-111.589586_40.153301,centroid_30,23.66,25.71,0.64,0.79,49.2
-111.594259_40.169936,centroid_31,24.4,25.35,0.94,0.84,48.47
-111.600062_40.162271,centroid_32,23.43,25.89,0.81,0.8,49.06
-111.602842_40.150459,centroid_33,23.46,25.99,0.69,0.78,49.08
-111.604913_40.177464,centroid_34,23.33,25.55,0.85,0.84,49.43
-111.608735_40.089857,centroid_35,24.82,26.25,0.39,0.82,47.72
-111.61045_40.126741,centroid_36,24.58,25.62,0.47,0.73,48.61
-111.614768_40.171519,centroid_37,23.32,25.45,0.81,0.82,49.59
-111.618345_40.106963,centroid_38,24.22,26.47,0.44,0.81,48.06
-111.623879_40.092185,centroid_39,24.45,25.83,0.39,0.87,48.45
-111.628876_40.159185,centroid_40,23.28,25.1,0.81,0.75,50.06
-111.62903_40.214505,centroid_41,22.72,26.49,1.2,0.85,48.74
-111.629498_40.123103,centroid_42,24.47,26.11,0.62,0.77,48.02
-111.632447_40.106182,centroid_43,25.21,26.25,0.55,0.8,47.18
-111.634914_40.233733,centroid_44,21.73,26.0,1.65,0.84,49.78
-111.635536_40.253363,centroid_45,20.72,26.72,2.76,0.86,48.94
-111.636945_40.2272,centroid_46,22.54,25.27,1.48,0.88,49.83
-111.638428_40.240275,centroid_47,20.94,25.02,2.11,0.84,51.09
-111.638558_40.096336,centroid_48,26.4,25.25,0.4,0.78,47.18
-111.640686_40.258373,centroid_49,20.61,25.34,2.87,0.93,50.25
-111.64194_40.218808,centroid_50,23.04,24.98,1.27,0.84,49.88
-111.646087_40.11793,centroid_51,25.85,24.39,0.8,0.77,48.19
-111.646814_40.276497,centroid_52,20.15,25.13,2.88,0.84,51.0
-111.64752_40.29044,centroid_53,19.99,26.01,3.2,0.87,49.93
