,centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
0,-111.076544_40.789839,centroid_1,30.06,36.71,3.07,0.52,29.63
1,-111.276811_40.62636,centroid_2,26.96,32.89,3.71,0.62,35.82
2,-111.282991_40.698113,centroid_3,31.69,28.99,3.68,0.66,34.98
3,-111.285765_41.776494,centroid_4,36.86,24.77,2.05,3.9,32.41
4,-111.364916_40.598384,centroid_5,27.37,30.77,4.7,0.67,36.48
5,-111.366196_40.490448,centroid_6,23.54,29.05,2.42,0.7,44.29
6,-111.380301_40.881808,centroid_7,33.59,25.72,8.84,0.68,31.16
7,-111.399741_40.517545,centroid_8,23.97,29.73,3.54,0.67,42.1
8,-111.402199_40.499864,centroid_9,24.12,27.05,3.08,0.7,45.05
9,-111.408202_40.477897,centroid_10,23.27,27.2,2.51,0.77,46.25
10,-111.420382_40.504007,centroid_11,23.61,27.68,3.48,0.75,44.49
11,-111.420779_40.48159,centroid_12,23.71,27.39,2.78,0.76,45.35
12,-111.434906_40.409967,centroid_13,22.43,28.76,1.77,0.62,46.41
13,-111.440744_40.757146,centroid_14,43.64,20.22,6.07,0.67,29.4
14,-111.442008_40.974532,centroid_15,48.44,20.25,9.68,0.63,21.0
15,-111.463355_40.506679,centroid_16,24.23,28.35,3.56,0.69,43.17
16,-111.47918_40.522269,centroid_17,26.24,27.85,4.08,0.74,41.09
17,-111.491737_40.657076,centroid_18,41.11,22.05,5.89,0.66,30.29
18,-111.505176_40.677097,centroid_19,43.6,20.22,6.57,0.59,29.03
19,-111.510946_40.65549,centroid_20,40.42,22.71,6.0,0.67,30.2
20,-111.510973_40.749146,centroid_21,51.42,16.73,6.9,0.62,24.33
21,-111.521423_40.710945,centroid_22,47.08,19.69,6.93,0.64,25.67
22,-111.523984_40.160043,centroid_23,27.96,27.06,1.14,0.82,43.02
23,-111.555312_40.702311,centroid_24,44.43,21.54,6.95,0.63,26.45
