centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,28.94,37.3,3.12,0.53,30.11
-111.276811_40.62636,centroid_2,25.51,33.54,3.78,0.63,36.53
-111.282991_40.698113,centroid_3,30.36,29.55,3.76,0.67,35.66
-111.285765_41.776494,centroid_4,35.8,25.19,2.09,3.97,32.96
-111.364916_40.598384,centroid_5,25.92,31.39,4.8,0.68,37.22
-111.366196_40.490448,centroid_6,22.29,29.52,2.46,0.71,45.01
-111.380301_40.881808,centroid_7,32.39,26.19,9.01,0.7,31.72
-111.399741_40.517545,centroid_8,22.65,30.24,3.6,0.68,42.83
-111.402199_40.499864,centroid_9,22.87,27.49,3.13,0.71,45.79
-111.408202_40.477897,centroid_10,21.97,27.66,2.55,0.78,47.04
-111.420382_40.504007,centroid_11,22.23,28.17,3.54,0.77,45.28
-111.420779_40.48159,centroid_12,22.34,27.89,2.83,0.78,46.17
-111.434906_40.409967,centroid_13,21.19,29.23,1.8,0.63,47.15
-111.440744_40.757146,centroid_14,42.51,20.62,6.2,0.68,29.99
-111.442008_40.974532,centroid_15,47.56,20.59,9.85,0.64,21.36
-111.463355_40.506679,centroid_16,22.82,28.88,3.63,0.7,43.97
-111.47918_40.522269,centroid_17,24.67,28.44,4.17,0.76,41.96
-111.491737_40.657076,centroid_18,39.62,22.61,6.04,0.68,31.06
-111.505176_40.677097,centroid_19,42.16,20.73,6.74,0.6,29.77
-111.510946_40.65549,centroid_20,38.91,23.28,6.15,0.69,30.97
-111.510973_40.749146,centroid_21,50.48,17.05,7.03,0.63,24.81
-111.521423_40.710945,centroid_22,45.9,20.12,7.08,0.65,26.24
-111.523984_40.160043,centroid_23,26.47,27.62,1.16,0.84,43.91
-111.555312_40.702311,centroid_24,43.12,22.05,7.11,0.64,27.08
-111.57445_40.155571,centroid_25,30.36,24.37,0.63,0.8,43.83
-111.578766_40.760625,centroid_26,50.92,19.6,7.0,0.59,21.9
-111.579662_40.141332,centroid_27,28.8,24.18,0.51,0.79,45.72
-111.58085_40.12006,centroid_28,26.58,25.57,0.59,0.82,46.43
-111.586724_40.743115,centroid_29,48.13,21.86,7.15,0.6,22.25
-111.589586_40.153301,centroid_30,29.3,23.81,0.59,0.73,45.57
-111.594259_40.169936,centroid_31,30.07,23.45,0.87,0.78,44.83
-111.600062_40.162271,centroid_32,29.03,24.0,0.76,0.74,45.48
-111.602842_40.150459,centroid_33,28.89,24.15,0.64,0.72,45.59
-111.604913_40.177464,centroid_34,29.14,23.61,0.79,0.78,45.69
-111.608735_40.089857,centroid_35,30.15,24.39,0.36,0.76,44.34
-111.61045_40.126741,centroid_36,30.04,23.76,0.44,0.67,45.09
-111.614768_40.171519,centroid_37,28.85,23.62,0.75,0.77,46.02
-111.618345_40.106963,centroid_38,29.73,24.54,0.41,0.75,44.57
-111.623879_40.092185,centroid_39,29.9,23.97,0.36,0.81,44.96
-111.628876_40.159185,centroid_40,28.48,23.4,0.75,0.7,46.67
-111.62903_40.214505,centroid_41,28.72,24.43,1.1,0.78,44.96
-111.629498_40.123103,centroid_42,30.03,24.19,0.58,0.71,44.49
-111.632447_40.106182,centroid_43,30.82,24.28,0.51,0.74,43.64
-111.634914_40.233733,centroid_44,27.67,24.03,1.52,0.78,46.0
-111.635536_40.253363,centroid_45,26.51,24.77,2.55,0.8,45.37
-111.636945_40.2272,centroid_46,28.42,23.35,1.37,0.81,46.04
-111.638428_40.240275,centroid_47,26.62,23.22,1.95,0.78,47.42
-111.638558_40.096336,centroid_48,32.08,23.3,0.36,0.72,43.54
-111.640686_40.258373,centroid_49,26.39,23.5,2.66,0.86,46.59
-111.64194_40.218808,centroid_50,28.53,23.19,1.18,0.78,46.32
-111.646087_40.11793,centroid_51,31.54,22.52,0.73,0.72,44.49
-111.646814_40.276497,centroid_52,25.88,23.33,2.67,0.78,47.35
-111.64752_40.29044,centroid_53,25.56,24.2,2.98,0.81,46.45
-111.64757_40.110315,centroid_54,32.75,22.67,0.65,0.67,43.26
-111.64853_40.2644,centroid_55,26.48,23.14,2.59,0.78,47.01
-111.648661_40.251416,centroid_56,26.89,24.14,2.62,0.78,45.56
-111.649372_40.230038,centroid_57,28.5,22.73,1.58,0.71,46.49
-111.650703_40.240069,centroid_58,28.09,23.12,2.35,0.75,45.7
-111.650786_40.236052,centroid_59,28.11,21.96,1.79,0.76,47.38
-111.650822_40.243418,centroid_60,27.21,23.1,2.47,0.83,46.4
-111.65995_40.25576,centroid_61,27.39,22.77,2.46,0.78,46.59
-111.660551_40.232836,centroid_62,28.71,22.94,2.1,0.74,45.5
-111.66172_40.114122,centroid_63,33.68,22.78,0.86,0.68,41.99
-111.662169_40.242473,centroid_64,28.72,22.8,2.24,0.75,45.49
-111.662305_40.280341,centroid_65,25.98,22.34,2.72,0.78,48.18
-111.662739_40.083359,centroid_66,34.03,22.98,0.38,0.74,41.86
-111.66314_40.048822,centroid_67,33.9,22.5,0.42,0.65,42.53
-111.666038_40.25546,centroid_68,28.28,22.44,2.27,0.77,46.24
-111.667578_40.222519,centroid_69,28.96,23.03,1.86,0.7,45.45
-111.667748_40.104488,centroid_70,34.04,23.03,0.85,0.71,41.37
-111.66852_40.0218,centroid_71,31.55,25.51,0.53,0.62,41.79
-111.669581_40.31791,centroid_72,26.07,22.94,4.0,0.77,46.23
-111.670525_40.229905,centroid_73,28.53,22.49,2.09,0.75,46.13
-111.670583_40.241261,centroid_74,28.48,22.47,2.07,0.82,46.15
-111.672308_40.260179,centroid_75,28.47,22.16,2.55,0.82,46.01
-111.675307_40.307781,centroid_76,26.59,22.76,3.87,0.86,45.93
-111.675375_40.216548,centroid_77,29.73,22.45,1.79,0.74,45.28
-111.67667_40.301024,centroid_78,27.7,21.75,3.67,0.78,46.09
-111.677531_40.272456,centroid_79,27.81,22.47,2.78,0.77,46.17
-111.678764_40.248673,centroid_80,28.85,22.83,2.34,0.69,45.29
-111.679132_40.28629,centroid_81,27.78,22.92,3.24,0.79,45.26
-111.679405_40.239153,centroid_82,28.3,21.84,1.9,0.79,47.16
-111.680296_40.293406,centroid_83,27.95,22.2,3.66,0.81,45.38
-111.680631_41.034586,centroid_84,53.37,16.05,2.02,2.13,26.43
-111.680815_40.04626,centroid_85,32.56,23.85,0.45,0.7,42.44
-111.683992_40.330432,centroid_86,27.07,22.31,4.58,0.77,45.27
-111.688027_40.253105,centroid_87,29.29,21.67,2.45,0.76,45.83
-111.688126_40.26641,centroid_88,28.13,21.61,3.03,0.74,46.49
-111.690637_40.315477,centroid_89,28.57,21.87,4.36,0.79,44.41
-111.690945_40.341445,centroid_90,27.17,21.84,4.85,0.76,45.38
-111.691222_40.229559,centroid_91,29.85,21.72,1.94,0.78,45.71
-111.692342_40.305926,centroid_92,29.31,21.72,4.17,0.8,44.0
-111.692399_40.281249,centroid_93,29.67,21.56,3.67,0.77,44.33
-111.694003_40.137893,centroid_94,36.04,21.81,1.0,0.72,40.42
-111.696181_40.323257,centroid_95,28.07,21.86,4.35,0.73,44.98
-111.699522_40.29005,centroid_96,30.29,21.26,3.85,0.76,43.84
-111.700685_40.237922,centroid_97,30.94,21.36,2.22,0.77,44.71
-111.700895_40.330228,centroid_98,27.62,21.93,4.69,0.74,45.02
-111.703961_40.267811,centroid_99,30.77,20.68,3.27,0.77,44.5
-111.704086_40.278152,centroid_100,31.16,21.64,3.82,0.74,42.63
-111.705269_40.300141,centroid_101,29.79,21.97,4.47,0.81,42.96
-111.707002_40.356894,centroid_102,28.3,21.55,5.19,0.74,44.22
-111.707774_40.249038,centroid_103,32.99,20.67,3.05,0.75,42.54
-111.710463_40.344773,centroid_104,27.72,22.15,5.25,0.76,44.13
-111.712872_40.307984,centroid_105,30.49,21.74,4.82,0.8,42.14
-111.713951_40.325992,centroid_106,29.4,20.86,4.92,0.8,44.03
-111.715583_40.369104,centroid_107,30.09,21.56,5.65,0.77,41.93
-111.716827_40.286662,centroid_108,31.97,20.93,4.38,0.77,41.95
-111.716853_40.038209,centroid_109,30.9,23.76,0.75,0.68,43.91
-111.716874_40.293379,centroid_110,30.74,20.99,4.31,0.75,43.22
-111.718073_40.31855,centroid_111,29.73,21.33,4.73,0.74,43.47
-111.720009_40.301039,centroid_112,31.06,20.4,4.53,0.75,43.26
-111.721079_40.216928,centroid_113,37.03,20.54,2.37,0.81,39.25
-111.722361_40.273057,centroid_114,33.05,20.38,4.1,0.72,41.74
-111.725362_40.356218,centroid_115,29.16,21.14,5.39,0.77,43.54
-111.727036_40.048777,centroid_116,31.86,22.91,0.9,0.63,43.7
-111.728061_40.280467,centroid_117,33.77,20.35,4.35,0.73,40.8
-111.729658_40.367083,centroid_118,29.85,21.13,5.52,0.78,42.72
-111.730211_40.031261,centroid_119,31.22,24.0,1.14,0.63,43.01
-111.733955_40.340267,centroid_120,30.83,20.8,5.46,0.72,42.18
-111.737492_40.300907,centroid_121,32.29,19.94,5.04,0.74,41.98
-111.738181_41.040237,centroid_122,59.76,12.86,1.5,2.14,23.74
-111.740352_40.381469,centroid_123,32.33,20.52,5.98,0.74,40.41
-111.740466_40.017394,centroid_124,27.76,23.15,1.15,0.64,47.29
-111.743288_40.032656,centroid_125,29.22,23.89,1.29,0.7,44.91
-111.744123_40.285687,centroid_126,34.54,19.81,4.84,0.75,40.06
-111.744399_40.593159,centroid_127,38.79,36.36,6.55,0.41,17.89
-111.749055_41.125046,centroid_128,53.53,15.19,0.92,3.2,27.15
-111.75038_40.303888,centroid_129,33.42,19.53,5.2,0.72,41.14
-111.751071_40.360975,centroid_130,32.46,20.8,5.77,0.78,40.2
-111.751631_40.402618,centroid_131,33.33,19.48,6.3,0.74,40.15
-111.755119_40.37103,centroid_132,32.58,20.06,5.95,0.72,40.69
-111.758195_40.383894,centroid_133,34.37,19.58,6.28,0.71,39.06
-111.75884_40.421882,centroid_134,35.83,18.59,6.82,0.71,38.05
-111.760547_40.052672,centroid_135,31.07,21.46,1.27,0.65,45.55
-111.761646_40.399297,centroid_136,35.6,19.07,6.46,0.69,38.18
-111.76706_40.445054,centroid_137,37.4,17.9,6.92,0.73,37.05
-111.767634_40.363462,centroid_138,33.53,19.57,6.58,0.73,39.59
-111.770417_40.46392,centroid_139,38.34,17.44,7.24,0.67,36.31
-111.770737_40.73081,centroid_140,65.03,11.61,4.57,0.8,17.99
-111.773142_39.968359,centroid_141,27.94,22.12,0.85,0.66,48.44
-111.780287_41.669812,centroid_142,34.88,18.63,0.51,2.87,43.12
-111.7804_40.378335,centroid_143,34.55,19.56,7.03,0.72,38.15
-111.784488_40.390123,centroid_144,34.59,18.26,6.86,0.72,39.57
-111.786278_39.970777,centroid_145,28.07,21.77,0.6,0.68,48.89
-111.787217_39.984341,centroid_146,28.71,20.96,0.86,0.58,48.89
-111.789625_40.369928,centroid_147,34.62,19.21,6.91,0.7,38.56
-111.790522_40.421003,centroid_148,40.01,17.93,7.19,0.73,34.13
-111.79156_40.60039,centroid_149,57.91,13.21,7.98,0.64,20.25
-111.792477_40.674211,centroid_150,64.42,11.09,4.92,0.7,18.88
-111.793161_40.447365,centroid_151,42.21,16.59,7.18,0.68,33.34
-111.794628_41.782695,centroid_152,28.29,20.61,0.24,2.34,48.52
-111.79482_41.308173,centroid_153,53.47,15.05,0.42,2.87,28.19
-111.797104_41.75237,centroid_154,29.25,21.45,0.26,1.97,47.07
-111.801658_40.599156,centroid_155,59.49,12.44,7.11,0.64,20.33
-111.804059_40.615886,centroid_156,60.6,12.14,6.65,0.65,19.96
-111.807543_40.385992,centroid_157,36.13,18.13,7.33,0.7,37.72
-111.807684_40.395088,centroid_158,36.26,18.33,7.42,0.73,37.26
-111.809458_40.402597,centroid_159,36.47,18.23,7.33,0.77,37.2
-111.809883_41.746672,centroid_160,30.32,20.99,0.23,1.9,46.56
-111.809951_41.727347,centroid_161,32.15,20.75,0.23,1.86,45.01
-111.81092_40.693486,centroid_162,67.03,9.83,2.79,0.89,19.47
-111.811418_40.681534,centroid_163,66.71,9.63,2.78,0.93,19.96
-111.812698_40.705096,centroid_164,66.94,9.62,2.87,0.94,19.63
-111.812843_40.738205,centroid_165,67.7,9.77,2.83,0.82,18.88
-111.814136_40.668241,centroid_166,66.13,10.21,3.5,0.75,19.4
-111.815852_40.425107,centroid_167,42.28,16.63,7.37,0.69,33.02
-111.815956_41.688693,centroid_168,32.38,20.62,0.28,2.03,44.7
-111.817619_40.414016,centroid_169,40.15,17.75,7.73,0.69,33.66
-111.818116_41.792341,centroid_170,28.05,22.41,0.28,2.06,47.21
-111.818358_40.725601,centroid_171,67.9,9.48,2.44,0.85,19.32
-111.818717_40.457745,centroid_172,48.98,14.36,7.43,0.6,28.63
-111.818751_41.747656,centroid_173,30.41,21.64,0.24,2.03,45.67
-111.818861_40.583571,centroid_174,59.79,12.41,5.82,0.68,21.3
-111.819036_40.550046,centroid_175,54.99,13.63,7.2,0.72,23.46
-111.81914_40.389094,centroid_176,37.16,17.66,7.65,0.66,36.87
-111.819413_40.628684,centroid_177,63.05,11.4,5.19,0.72,19.63
-111.819544_41.833667,centroid_178,26.63,21.99,0.21,1.85,49.32
-111.820542_41.753457,centroid_179,30.69,21.26,0.26,1.98,45.82
-111.820548_41.709977,centroid_180,32.36,20.12,0.25,1.83,45.43
-111.821178_40.598865,centroid_181,61.36,12.08,5.29,0.77,20.51
-111.821453_41.940066,centroid_182,23.63,22.77,0.15,1.88,51.57
-111.822335_41.768353,centroid_183,28.73,21.12,0.2,1.83,48.12
-111.822358_40.647882,centroid_184,64.8,10.86,4.16,0.76,19.43
-111.822423_40.608806,centroid_185,61.7,11.74,4.95,0.81,20.8
-111.822675_41.731046,centroid_186,31.0,20.8,0.26,1.96,45.98
-111.822761_40.72054,centroid_187,68.48,9.61,2.33,0.86,18.72
-111.82303_40.590995,centroid_188,61.06,11.48,5.14,0.75,21.57
